Tipologia;Progressivo;STR;Centro Costo;Denominazione Strada;Localizzazione Strada ¹;Comune/i attraversati ¹;Pertinenze;Sviluppo km ¹;Descrizione sintetica Strada;Scheda;
SP;001;SP_001;3.2.1;S.P. n° 1 Santadi - Limite Area Metropolitana “Comune di Capoterra”;https://www.google.com/maps/dir/39.0889803,8.7211925/39.1081213,8.8418129/@39.1036904,8.7757832,25726m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Santadi;;13.300;;Foglio SP_001;
SP;002;SP_002;3.2.2;S.P. n° 2 Limite Area Metropolitana “Comune di Siliqua”  - Portovesme (inizio piazzale porto);https://www.google.com/maps/dir/39.2646887,8.7432188/39.2001194,8.390569/@39.2429515,8.6139081,22223m/data=!3m1!1e3!4m9!4m8!1m5!3m4!1m2!1d8.4150364!2d39.194426!3s0x12e7a617894cc489:0x13d54e857b94b54d!1m0!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Portoscuso, Carbonia, Iglesias, Villamassargia;;39.200;;Foglio SP_002;STR02_Strade Provinciale.xlsx
SP;002_2;SP_002_2;3.2.2;S.P. n° 2 - bis Bretella Barbusi - Sirai;https://www.google.com/maps/dir/39.1967798,8.5030831/39.18471,8.4968815/@39.1886146,8.508332,3932m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Carbonia;;2.000;;Foglio SP_002_2;
SP;002_3;SP_002_3;3.2.2;S.P. n° 2 - ter Bretella Flumentepido – S.P. 2;https://www.google.com/maps/dir/39.1887598,8.4825851/39.1854701,8.477109/@39.1872224,8.4821788,2083m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Carbonia;;0,600;;Foglio SP_002_3;
SP;070;SP_070;3.2.3;S.P. n°  70 Santadi - Bivio SS 195 “Teulada” - Santadi;https://www.google.com/maps/dir/38.9648194,8.7645681/39.0841027,8.7146482/@39.0290481,8.7203799,21039m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Santadi, Teulada;;18.200;;Foglio SP_070;
SP;071;SP_071;3.2.4;S.P. n°  71 Bivio  SS 195 “Domus De Maria” - SS 195 Teulada;https://www.google.com/maps/dir/38.9576605,8.7420521/38.892818,8.8375048/@38.9391872,8.7819462,18233m/am=t/data=!3m1!1e3!4m6!4m5!3e0!6m3!1i0!2i0!3i0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Teulada;;20.600;;Foglio SP_071;
SP;073;SP_073;3.2.5;S.P. n°  73 Bivio SS 195 (Villarios) - Is Pillonis - SS 195 (S.Anna Arresi);https://www.google.com/maps/dir/39.0587655,8.5774225/39.0022259,8.6455495/@39.01163,8.5723234,14881m/am=t/data=!3m1!1e3!4m7!4m6!3e0!5i2!6m3!1i0!2i0!3i4?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Giba, Masainas, Sant'Anna Arresi;;13.410;;Foglio SP_073;
SP;074;SP_074;3.2.6;S.P. n°  74 Tratalias - Bivio SS 195 (Villarios);https://www.google.com/maps/dir/39.0971143,8.5695829/39.0609104,8.5931975/@39.0819257,8.5795015,5106m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Tratalias, Giba;;5.000;;Foglio SP_074;
SP;075;SP_075;3.2.7;S.P. n°  75 Bivio S.P. 2 (Bruncu Teula) - Bivio SS 126;https://www.google.com/maps/dir/39.0966255,8.5009669/39.1722392,8.4632164/@39.1459439,8.4397297,21005m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Portoscuso, San Giovanni Suergiu;;11.500;;;
SP;075_2;SP_075_2;3.2.8;S.P. n°  75 bis Bivio Bruncu Teula - Bretella S.P. 2;https://www.google.com/maps/dir/39.1628887,8.4423237/39.1751702,8.4394504/@39.1767499,8.4401473,6613m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D;Portoscuso   ;;1.387;;;
